2019/04/16,16.15,19.38,16.15,19.38,32664.00,618170.00
2019/04/17,21.32,21.32,21.32,21.32,16186.00,345086.00
2019/04/18,23.45,23.45,23.45,23.45,33884.00,794580.00
2019/04/19,25.80,25.80,25.80,25.80,78216.00,2017973.00
2019/04/22,28.38,28.38,28.38,28.38,157446.00,4468317.00
2019/04/23,31.22,31.22,31.22,31.22,771488.00,24085856.00
2019/04/24,33.01,34.34,32.11,34.34,28249272.00,945512128.00
2019/04/25,33.00,37.47,32.80,35.81,24137494.00,840269888.00
2019/04/26,36.20,39.39,36.20,39.39,17541368.00,662298368.00
2019/04/29,40.44,41.77,35.45,35.45,18382552.00,687038208.00
2019/04/30,35.50,38.62,35.50,36.81,15490961.00,570865856.00
2019/05/06,34.53,38.96,34.51,38.25,20175694.00,749237376.00
2019/05/07,38.00,40.24,36.10,39.06,18681214.00,715970560.00
2019/05/08,37.30,39.00,36.50,36.96,14744575.00,552892736.00
2019/05/09,35.91,37.50,33.26,33.32,14329767.00,502076480.00
2019/05/10,33.23,34.84,33.18,34.52,12106642.00,410906080.00
2019/05/13,33.51,34.58,33.20,33.88,7282899.00,246985536.00
2019/05/14,33.36,34.94,33.36,33.67,8162664.00,279441888.00
2019/05/15,33.97,35.80,33.30,35.39,10560185.00,365733728.00
2019/05/16,34.87,38.93,34.86,38.93,12891853.00,482519968.00
2019/05/17,38.00,38.47,36.35,36.72,10706468.00,400182432.00
2019/05/20,36.21,36.55,33.06,34.49,7377771.00,255490928.00
2019/05/21,34.49,35.44,34.41,34.50,4788327.00,167162608.00
2019/05/22,33.93,34.18,32.61,33.15,6809631.00,226689968.00
2019/05/23,32.50,32.68,31.53,31.70,4959483.00,158857552.00
2019/05/24,31.40,32.95,31.40,32.60,3646326.00,117395352.00
2019/05/27,32.70,33.67,32.26,33.01,3526884.00,116041824.00
2019/05/28,33.00,34.25,32.79,33.22,3574063.00,120064816.00
2019/05/29,33.20,34.45,33.01,33.80,3655431.00,124150704.00
2019/05/30,33.50,37.18,33.00,36.60,9369340.00,336760320.00
2019/05/31,36.03,39.92,35.45,37.60,11765346.00,444295968.00
2019/06/03,37.17,37.87,35.07,35.43,7514702.00,271097216.00
2019/06/04,35.62,37.20,34.81,35.44,6317529.00,226986544.00
2019/06/05,35.40,36.49,34.49,36.03,5297450.00,188511968.00
2019/06/06,35.50,39.63,35.02,37.02,10108093.00,383072832.00
2019/06/10,37.68,40.72,37.06,40.72,8661135.00,339594144.00
2019/06/11,42.81,44.30,39.00,41.96,14600742.00,608950528.00
2019/06/12,40.27,41.27,39.03,39.17,11669653.00,467448160.00
2019/06/13,38.47,40.08,38.11,39.92,7081042.00,277558048.00
2019/06/14,39.55,39.87,36.71,36.74,6757848.00,257475760.00
2019/06/17,36.50,37.64,36.46,37.00,3404049.00,126096552.00
2019/06/18,37.00,38.26,36.03,38.10,4672267.00,174018176.00
2019/06/19,38.31,39.96,38.31,39.27,5944163.00,232687088.00
2019/06/20,38.53,39.63,38.00,39.37,4922710.00,191942320.00
2019/06/21,39.36,40.20,38.58,38.80,4650388.00,182698864.00
2019/06/24,38.10,38.71,37.76,38.22,3342941.00,127636400.00
2019/06/25,38.24,40.80,38.02,40.56,8411359.00,334796736.00
2019/06/26,39.79,42.50,39.75,40.14,8202773.00,336181632.00
2019/06/27,40.50,43.55,40.00,43.55,9368508.00,391481280.00
2019/06/28,43.14,44.45,40.89,41.95,9219642.00,392852032.00
2019/07/01,42.42,46.15,41.62,46.15,8955811.00,398369344.00
2019/07/02,46.95,49.10,45.05,46.38,13920674.00,654607808.00
2019/07/03,45.15,48.70,45.01,45.34,11183499.00,522367200.00
2019/07/04,45.01,45.85,42.81,44.41,9032478.00,396968096.00
2019/07/05,44.30,46.20,44.06,46.20,7615307.00,343064512.00
2019/07/08,45.88,47.30,43.06,44.03,7984842.00,361392416.00
2019/07/09,43.39,43.94,42.06,43.15,5451611.00,234325328.00
2019/07/10,43.00,43.86,42.68,42.96,3866440.00,166981872.00
2019/07/11,43.30,43.94,42.03,42.30,4355864.00,187241312.00
2019/07/12,42.12,44.40,42.01,43.84,5820749.00,252230544.00
2019/07/15,43.33,45.83,43.31,45.03,6308209.00,281274528.00
2019/07/16,45.00,45.12,43.85,44.70,4280259.00,189882896.00
2019/07/17,44.30,44.50,43.40,43.80,3726692.00,163855296.00
2019/07/18,43.40,44.49,41.70,41.80,4684580.00,202390816.00
2019/07/19,41.27,42.29,40.12,40.98,6081565.00,250255808.00
2019/07/22,40.90,40.98,38.23,38.86,4657237.00,182440224.00
2019/07/23,38.88,39.49,38.41,39.49,2395475.00,93648952.00
2019/07/24,39.45,40.15,39.16,39.21,3468349.00,137370288.00
2019/07/25,39.06,41.45,38.60,41.39,6293135.00,251627200.00
2019/07/26,40.81,41.00,40.24,40.25,3362591.00,136225264.00
2019/07/29,40.20,40.73,40.14,40.41,1859671.00,75160080.00
2019/07/30,40.43,40.49,39.81,39.81,2108006.00,84366816.00
2019/07/31,39.68,39.68,38.28,38.52,3084696.00,119945504.00
2019/08/01,38.11,39.18,37.93,38.90,2309405.00,89631800.00
2019/08/02,38.15,40.12,37.00,39.69,4025293.00,155486624.00
2019/08/05,41.52,43.25,41.10,41.88,7724969.00,324723296.00
2019/08/06,41.18,44.10,40.82,43.85,6962792.00,295006304.00
2019/08/07,43.30,44.05,42.81,43.24,4024423.00,174770064.00
2019/08/08,43.22,43.90,42.78,43.76,2505707.00,108834816.00
2019/08/09,43.76,45.38,43.40,43.94,4184040.00,185786384.00
2019/08/12,43.55,44.57,42.70,44.12,2536146.00,111201040.00
2019/08/13,43.66,44.68,43.30,43.99,1969154.00,86891856.00
2019/08/14,44.63,45.80,43.18,45.58,3813018.00,170400272.00
2019/08/15,44.72,46.08,44.60,46.03,3037961.00,137852192.00
2019/08/16,45.80,47.98,45.50,45.80,4144103.00,194905488.00
2019/08/19,45.81,47.44,45.50,46.13,4668992.00,216375072.00
2019/08/20,45.88,46.32,44.81,44.88,3202613.00,145376464.00
2019/08/21,44.95,46.39,44.61,46.02,3273769.00,148850352.00
2019/08/22,45.95,45.96,44.30,44.77,2632107.00,118346808.00
2019/08/23,44.50,46.46,44.40,45.43,2820045.00,128517392.00
2019/08/26,44.98,46.79,44.72,46.48,2973320.00,136911600.00
2019/08/27,46.60,48.70,46.60,47.96,4088423.00,194936832.00
2019/08/28,47.90,48.19,46.71,47.88,3299794.00,156220240.00
2019/08/29,47.74,47.98,46.59,46.59,2262910.00,106856432.00
2019/08/30,46.58,47.58,45.15,45.60,2877712.00,133682776.00
2019/09/02,45.08,46.71,45.08,46.00,2326453.00,107194640.00
2019/09/03,46.01,46.42,45.20,45.82,2324798.00,106313712.00
2019/09/04,46.00,47.60,45.30,47.60,3815312.00,177416400.00
2019/09/05,47.86,47.86,46.54,47.30,4870571.00,229231936.00
2019/09/06,47.30,47.37,46.21,46.40,2088666.00,97380048.00
2019/09/09,46.55,47.44,46.01,47.44,2949624.00,137832768.00
2019/09/10,47.12,47.19,46.41,46.56,2186226.00,102290616.00
2019/09/11,46.74,47.50,46.26,46.26,2480479.00,116159024.00
2019/09/12,46.30,46.30,44.75,44.86,3643605.00,164714624.00
2019/09/16,45.07,45.09,44.66,44.94,1196478.00,53681872.00
2019/09/17,44.72,45.51,44.55,44.72,1311295.00,59031636.00
2019/09/18,44.77,46.59,44.68,45.70,3128563.00,143287872.00
2019/09/19,45.43,46.10,45.10,46.05,2064351.00,94065432.00
2019/09/20,46.50,48.00,45.81,47.45,4171622.00,195982224.00
2019/09/23,47.40,47.93,45.17,45.65,3175804.00,147910048.00
2019/09/24,45.82,46.20,45.22,45.83,1862261.00,85205648.00
2019/09/25,45.88,50.41,45.64,50.41,8755525.00,430709120.00
2019/09/26,49.59,50.50,47.30,48.60,6314500.00,309704160.00
2019/09/27,48.60,51.50,47.86,49.88,4727237.00,235314960.00
2019/09/30,49.88,53.46,48.64,51.98,4324354.00,221262704.00
2019/10/08,52.00,53.38,50.50,51.26,3515726.00,182057968.00
2019/10/09,50.60,50.63,48.75,49.90,2821504.00,139395152.00
2019/10/10,49.77,53.30,49.31,52.50,3719252.00,190848320.00
2019/10/11,52.51,55.42,51.90,52.65,3678904.00,196121120.00
2019/10/14,53.27,54.78,52.05,53.14,2559400.00,136269600.00
2019/10/15,52.72,54.08,52.50,53.95,1858033.00,99382704.00
2019/10/16,53.70,56.88,53.27,55.85,3071531.00,170122592.00
2019/10/17,55.50,57.51,54.91,57.51,2353462.00,132275872.00
2019/10/18,56.99,61.46,54.10,55.80,5711451.00,333247552.00
2019/10/21,55.73,55.73,51.78,52.47,5102724.00,271234336.00
2019/10/22,52.27,54.10,52.27,53.90,2820846.00,150658368.00
2019/10/23,53.90,55.55,53.59,53.90,2673833.00,145637696.00
2019/10/24,53.95,54.80,52.53,53.22,2187935.00,116947528.00
2019/10/25,53.53,54.65,52.67,53.75,2402462.00,128936176.00
2019/10/28,53.37,56.64,52.81,55.98,2621057.00,143356640.00
2019/10/29,50.38,50.38,50.38,50.38,994400.00,50097872.00
