2019/07/16,52.72,63.26,52.72,63.26,72176.00,4543720.00
2019/07/17,69.59,69.59,69.59,69.59,38311.00,2666062.00
2019/07/18,76.55,76.55,76.55,76.55,41831.00,3202163.00
2019/07/19,84.21,84.21,84.21,84.21,87638.00,7379996.00
2019/07/22,92.63,92.63,92.63,92.63,168386.00,15597595.00
2019/07/23,101.89,101.89,97.27,101.89,8842905.00,888268288.00
2019/07/24,111.00,112.08,109.50,112.08,3286719.00,365356064.00
2019/07/25,123.29,123.29,123.29,123.29,1891457.00,233197728.00
2019/07/26,123.29,129.00,120.50,124.33,12501508.00,1562736768.00
2019/07/29,128.18,128.99,124.88,128.00,7768318.00,990446848.00
2019/07/30,125.50,127.98,123.81,127.60,5749269.00,724228224.00
2019/07/31,127.20,131.33,126.01,127.83,5912517.00,758466048.00
2019/08/01,126.00,134.44,125.10,132.28,5767230.00,740906624.00
2019/08/02,127.00,129.35,125.25,125.77,5964208.00,758486720.00
2019/08/05,124.00,128.20,116.34,117.01,6438048.00,790826432.00
2019/08/06,113.72,122.00,113.00,119.00,5263761.00,616641728.00
2019/08/07,119.00,120.58,115.25,115.85,4134768.00,487286080.00
2019/08/08,116.23,127.44,115.30,125.80,7148025.00,883496704.00
2019/08/09,124.61,132.78,124.41,125.83,5520547.00,706248448.00
2019/08/12,128.64,138.41,127.00,138.41,5733435.00,760920256.00
2019/08/13,136.00,139.00,132.51,137.80,4797587.00,651841024.00
2019/08/14,140.73,147.00,129.34,131.30,5714342.00,791750272.00
2019/08/15,126.82,138.30,126.82,136.99,4300551.00,571454080.00
2019/08/16,136.80,142.58,134.71,138.53,3386296.00,469151168.00
2019/08/19,141.42,147.28,136.83,141.93,3715738.00,529106464.00
2019/08/20,141.40,142.37,136.41,137.20,3185449.00,441930400.00
2019/08/21,137.20,137.60,130.71,137.01,4335222.00,583166528.00
2019/08/22,136.01,140.80,133.80,134.20,3353113.00,460265408.00
2019/08/23,133.50,134.78,127.50,128.35,4266013.00,556387584.00
2019/08/26,125.90,126.88,122.04,123.45,3289433.00,408996512.00
2019/08/27,125.00,129.68,124.61,127.18,2896843.00,368917184.00
2019/08/28,127.01,131.18,124.02,130.84,2642440.00,339901216.00
2019/08/29,130.95,142.80,127.25,139.40,4772963.00,649097920.00
2019/08/30,139.00,148.80,136.42,140.63,4412247.00,627533504.00
2019/09/02,143.10,154.69,140.11,153.49,4555030.00,672851072.00
2019/09/03,151.08,165.35,150.03,156.01,4257213.00,666030976.00
2019/09/04,155.77,159.00,153.00,156.93,2786584.00,434801824.00
2019/09/05,157.50,165.00,155.85,157.05,2908783.00,466189408.00
2019/09/06,157.45,169.25,157.28,166.34,3158715.00,516985792.00
2019/09/09,170.40,182.97,165.79,180.60,4321928.00,761202880.00
2019/09/10,178.08,179.41,168.88,171.50,3683731.00,638467136.00
2019/09/11,171.50,173.22,162.30,165.55,3245549.00,541330560.00
2019/09/12,166.57,170.77,164.18,169.80,2077143.00,349453952.00
2019/09/16,169.01,172.57,167.03,168.80,1827348.00,309858880.00
2019/09/17,168.00,168.80,159.50,161.00,2358824.00,384698368.00
2019/09/18,162.00,162.99,155.50,160.60,2420272.00,384440032.00
2019/09/19,159.08,175.88,158.55,173.00,3397862.00,564923456.00
2019/09/20,171.00,180.80,171.00,173.77,2777483.00,487864288.00
2019/09/23,174.80,191.00,173.77,189.33,4037541.00,733340544.00
2019/09/24,186.98,195.58,183.15,191.50,3270132.00,622937664.00
2019/09/25,189.00,193.50,182.01,183.55,2905567.00,542572096.00
2019/09/26,183.00,192.00,176.00,184.50,3420016.00,635347200.00
2019/09/27,182.02,190.68,177.00,187.50,2844502.00,524739584.00
2019/09/30,189.58,191.00,168.75,168.75,3430204.00,606402048.00
2019/10/08,165.10,168.74,155.58,158.17,2814403.00,457155936.00
2019/10/09,158.01,169.99,156.00,168.60,2416139.00,395590528.00
2019/10/10,168.00,185.46,167.00,185.46,3557521.00,641166016.00
2019/10/11,187.00,190.00,182.00,188.14,1948566.00,361826528.00
2019/10/14,189.89,190.00,184.40,187.00,1935671.00,361724192.00
2019/10/15,184.99,188.85,174.00,184.04,2021523.00,368359552.00
2019/10/16,182.99,184.94,176.60,178.02,1323340.00,237828736.00
