2020/08/26,127.67,150.60,126.66,136.84,10828543.00,1497562752.00
2020/08/27,120.01,120.03,100.01,106.89,7732312.00,848038912.00
2020/08/28,99.99,99.99,91.66,99.90,4837703.00,464449152.00
2020/08/31,99.90,103.80,97.13,97.99,2499767.00,249295552.00
2020/09/01,101.00,107.31,101.00,105.02,3095674.00,323723360.00
2020/09/02,105.00,111.84,100.10,104.84,3120446.00,331538912.00
2020/09/03,104.98,108.98,100.10,106.65,2207129.00,230134528.00
2020/09/04,103.99,106.00,99.80,99.80,1407163.00,143920592.00
2020/09/07,97.10,98.70,91.00,91.00,1760030.00,167290976.00
2020/09/08,90.88,91.77,84.22,86.80,1695016.00,147210464.00
2020/09/09,84.94,85.00,78.98,79.99,1396201.00,113985528.00
2020/09/10,81.00,82.50,77.10,77.60,1108248.00,88081864.00
2020/09/11,76.16,88.00,76.16,84.31,2054497.00,170764944.00
2020/09/14,86.15,86.84,82.03,86.50,1145401.00,97204216.00
2020/09/15,86.16,86.75,83.15,85.50,861620.00,73076112.00
2020/09/16,85.80,87.69,83.60,86.35,523659.00,44775460.00
2020/09/17,86.45,93.70,85.99,93.70,1841176.00,167547168.00
2020/09/18,92.00,94.64,90.28,92.20,807487.00,74519264.00
2020/09/21,92.00,98.00,90.68,94.40,1296822.00,123063504.00
2020/09/22,94.00,95.98,90.57,93.76,773732.00,72462160.00
2020/09/23,94.44,97.56,91.00,96.68,841640.00,79785168.00
2020/09/24,94.59,97.80,92.87,93.81,930820.00,88286952.00
2020/09/25,94.00,94.87,89.99,91.95,442619.00,40789444.00
2020/09/28,91.99,94.70,91.00,92.27,534296.00,49378872.00
2020/09/29,91.72,95.99,91.72,93.00,1030388.00,96702984.00
2020/09/30,92.77,92.99,88.00,91.03,821202.00,74698344.00
2020/10/09,92.00,92.50,90.19,90.50,304385.00,27751356.00
2020/10/12,91.79,97.49,90.51,96.87,626314.00,58928456.00
2020/10/13,96.79,108.60,96.29,104.00,1441178.00,148551712.00
2020/10/14,104.63,108.52,102.89,107.18,839746.00,88807728.00
2020/10/15,105.88,107.84,102.50,106.00,649386.00,68508984.00
2020/10/16,106.53,122.80,106.21,117.00,1468576.00,168215008.00
2020/10/19,114.00,125.77,111.48,113.80,1485963.00,174580432.00
2020/10/20,115.50,118.40,111.50,115.68,1009804.00,115155888.00
2020/10/21,113.99,116.87,112.31,113.96,314013.00,36063240.00
2020/10/22,115.50,115.50,106.02,109.36,690665.00,75639512.00
2020/10/23,109.40,112.00,101.87,103.02,948008.00,100272024.00
2020/10/26,103.30,109.50,101.69,108.80,710494.00,75917032.00
2020/10/27,108.80,113.76,106.60,107.57,684755.00,75407704.00
2020/10/28,109.94,110.05,104.06,108.75,371750.00,40260008.00
2020/10/29,106.25,115.50,106.02,115.50,664137.00,74021808.00
2020/10/30,115.24,120.00,113.56,114.77,655019.00,76364480.00
2020/11/02,113.33,126.66,113.33,124.80,821692.00,100154384.00
2020/11/03,124.96,132.90,122.10,132.90,809904.00,103504152.00
2020/11/04,132.71,134.60,125.65,131.30,943361.00,122030224.00
2020/11/05,130.22,133.28,128.18,131.60,615387.00,80447912.00
2020/11/06,130.53,131.50,123.78,128.76,702482.00,89391080.00
2020/11/09,127.80,130.00,124.39,128.00,876508.00,111578888.00
