2016/03/07,11.03,13.23,11.03,13.23,38595.00,505992.00
2016/03/08,14.55,14.55,14.55,14.55,21966.00,319605.00
2016/03/09,16.01,16.01,16.01,16.01,20600.00,329806.00
2016/03/10,17.61,17.61,17.61,17.61,37500.00,660375.00
2016/03/11,19.37,19.37,19.37,19.37,246387.00,4772516.00
2016/03/14,21.31,21.31,21.31,21.31,222517.00,4741837.00
2016/03/15,23.44,23.44,23.44,23.44,158800.00,3722272.00
2016/03/16,25.78,25.78,25.78,25.78,690510.00,17801348.00
2016/03/17,28.35,28.36,26.81,28.36,20551544.00,573025600.00
2016/03/18,29.00,30.99,28.65,29.21,27823212.00,826648512.00
2016/03/21,28.61,31.55,28.18,30.19,22275548.00,656762496.00
2016/03/22,29.34,30.10,28.80,29.00,14708213.00,429774272.00
2016/03/23,28.35,28.66,27.70,28.40,10978975.00,309525664.00
2016/03/24,28.44,31.24,28.20,31.24,16404073.00,501481056.00
2016/03/25,32.00,33.27,29.18,29.86,18731220.00,580241600.00
2016/03/28,30.30,30.39,27.80,28.31,13410275.00,388716416.00
2016/03/29,28.10,28.10,26.77,27.24,8685091.00,236883760.00
2016/03/30,27.61,28.24,27.25,28.18,8305553.00,230533760.00
2016/03/31,28.28,28.35,27.60,27.70,7372141.00,205615712.00
2016/04/01,27.55,28.18,27.05,27.97,6345431.00,175758848.00
2016/04/05,27.76,28.36,27.06,28.19,8401378.00,233443552.00
2016/04/06,28.00,28.44,27.67,27.91,6032791.00,168823312.00
2016/04/07,27.81,28.59,27.81,27.88,7019236.00,197508128.00
2016/04/08,27.62,27.94,27.16,27.91,4983496.00,137451984.00
2016/04/11,28.30,29.93,28.13,29.44,11390577.00,332655648.00
2016/04/12,29.00,30.51,28.81,29.52,10827885.00,321212352.00
2016/04/13,29.36,30.18,29.10,29.59,9428448.00,279921472.00
2016/04/14,29.70,32.55,29.65,32.55,12681816.00,397502080.00
2016/04/15,33.22,33.95,31.47,31.89,18676058.00,609324608.00
2016/04/18,30.70,30.87,29.59,30.55,10322493.00,312764992.00
2016/04/19,30.70,31.55,30.26,30.56,7897188.00,244388496.00
2016/04/20,30.41,31.50,28.01,29.18,10404110.00,308454144.00
2016/04/21,28.90,29.39,28.30,28.49,6897378.00,198991344.00
2016/04/22,28.01,28.70,27.88,28.67,4587337.00,129875840.00
2016/04/25,28.39,28.39,27.40,28.02,4312836.00,120438944.00
2016/04/26,27.99,28.57,27.88,28.51,3460490.00,97725200.00
2016/04/27,28.51,29.27,28.43,28.74,5214207.00,150526112.00
2016/04/28,28.90,28.98,27.60,28.19,5079991.00,143073008.00
2016/04/29,27.98,28.40,27.82,28.07,2701476.00,76076720.00
2016/05/03,28.10,29.77,28.06,29.51,6225782.00,181626688.00
2016/05/04,29.40,30.85,29.30,30.01,7772721.00,232387936.00
2016/05/05,30.01,30.61,29.80,30.30,5890458.00,178122656.00
2016/05/06,30.50,31.66,28.79,28.97,8888939.00,270388064.00
2016/05/09,28.20,28.39,27.61,27.77,5652454.00,157985536.00
2016/05/10,27.80,28.59,27.70,28.36,4292444.00,120930344.00
2016/05/11,28.45,30.31,28.31,29.47,8812190.00,258283312.00
2016/05/12,28.50,28.50,27.20,27.99,6252860.00,173658224.00
2016/05/13,27.85,28.58,27.50,27.77,3998484.00,111612024.00
2016/05/16,27.77,28.66,27.52,28.64,3987502.00,111768360.00
2016/05/17,28.55,28.61,27.88,27.99,3970455.00,111921176.00
2016/05/18,27.70,27.70,26.30,26.91,4751605.00,128173648.00
2016/05/19,26.88,27.37,26.80,26.92,2997001.00,81036544.00
2016/05/20,26.30,27.22,26.08,27.21,3055337.00,81731648.00
2016/05/23,27.30,28.33,27.20,28.00,4199767.00,117018000.00
2016/05/24,27.92,27.92,27.23,27.53,2722350.00,74967824.00
2016/05/25,27.88,28.12,27.50,27.64,2556921.00,71136512.00
2016/05/26,27.67,27.99,26.80,27.97,3071884.00,84185856.00
2016/05/27,28.20,30.51,28.14,29.42,9998720.00,296048832.00
2016/05/30,28.85,29.50,28.00,29.12,5434957.00,156710688.00
2016/05/31,29.00,31.03,29.00,30.53,8607458.00,260213152.00
2016/06/01,30.39,31.59,30.15,30.52,8638275.00,266554336.00
2016/06/02,30.55,32.85,30.50,32.04,9809437.00,309803328.00
2016/06/03,31.78,33.87,31.11,32.71,12098243.00,394415360.00
2016/06/06,32.51,33.75,31.83,33.27,9204464.00,301576640.00
2016/06/07,33.37,35.20,32.88,34.59,11455211.00,388647136.00
2016/06/08,34.55,34.55,32.76,32.81,8642928.00,289436608.00
2016/06/13,31.83,32.00,29.54,29.57,8473004.00,263465328.00
2016/06/14,29.63,31.30,29.57,30.74,6135583.00,187413824.00
2016/06/15,30.30,33.33,30.02,32.38,7582092.00,242317920.00
2016/06/16,32.26,33.17,31.59,32.02,5331888.00,172333840.00
2016/06/17,32.28,33.03,31.70,32.99,6107356.00,197953504.00
2016/06/20,33.05,35.19,32.00,34.17,9577329.00,325591360.00
2016/06/21,34.10,35.25,33.26,33.32,8787402.00,300072224.00
2016/06/22,33.00,34.99,32.70,34.73,8319518.00,285279904.00
2016/06/23,34.55,35.77,33.87,34.90,8019016.00,279654016.00
2016/06/24,34.58,35.10,32.60,33.65,7150768.00,242660832.00
2016/06/27,33.58,36.05,33.35,35.71,8014885.00,281163744.00
2016/06/28,35.33,36.69,34.90,35.64,7684013.00,275201952.00
2016/06/29,35.68,37.88,35.06,37.41,9234118.00,335507424.00
2016/06/30,36.50,36.74,35.16,35.27,7781737.00,279823296.00
2016/07/01,35.70,36.40,35.16,35.61,4446283.00,159261728.00
2016/07/04,35.31,37.25,35.31,37.05,5740971.00,210357120.00
2016/07/05,37.00,38.50,37.00,38.07,7426664.00,281478912.00
2016/07/06,38.08,39.08,37.16,38.36,6607636.00,251935408.00
2016/07/07,38.45,38.78,37.50,38.44,4997749.00,190535760.00
2016/07/08,38.55,39.95,38.17,39.09,6124443.00,240603248.00
2016/07/11,38.78,39.88,37.47,37.90,6598030.00,253032992.00
2016/07/12,37.60,39.80,36.87,39.65,6534287.00,250166880.00
2016/07/13,39.66,40.00,38.00,38.95,5089567.00,199215856.00
2016/07/14,39.00,40.48,38.66,40.39,7008552.00,279492032.00
2016/07/15,40.48,40.55,39.65,39.96,4797710.00,191922784.00
2016/07/18,39.66,39.79,38.80,38.98,4444586.00,174039376.00
2016/07/19,38.70,39.38,37.71,38.43,3996310.00,153386800.00
2016/07/20,38.49,38.68,37.90,38.23,2692242.00,103115184.00
2016/07/21,38.09,38.66,37.50,37.72,3155628.00,120043952.00
2016/07/22,37.38,37.80,35.75,36.05,5706113.00,208166480.00
2016/07/25,35.50,36.60,35.43,36.09,2976652.00,107121576.00
2016/07/26,36.08,36.61,35.81,36.43,2511331.00,91380160.00
2016/07/27,36.50,36.73,33.08,33.99,4894637.00,170004528.00
2016/07/28,33.70,34.20,32.99,33.96,2704605.00,91027696.00
2016/07/29,34.10,34.49,33.68,33.79,1947131.00,66166060.00
2016/08/01,33.00,33.46,31.31,32.20,2327446.00,74990440.00
2016/08/02,32.20,33.00,32.01,32.98,1939766.00,63400856.00
2016/08/03,32.79,34.30,32.50,33.97,3051835.00,103114552.00
2016/08/04,33.80,34.32,33.45,33.83,1779439.00,60266040.00
2016/08/05,33.73,34.30,33.73,33.82,2086111.00,71078432.00
2016/08/08,33.60,33.86,32.82,33.72,1618931.00,53997064.00
2016/08/09,33.51,34.45,33.45,34.40,2085520.00,71400160.00
2016/08/10,34.40,34.79,34.07,34.47,1993236.00,68660664.00
2016/08/11,34.18,34.49,33.18,33.22,2084924.00,70670752.00
2016/08/12,33.00,33.67,33.00,33.55,1398422.00,46667056.00
2016/08/15,34.00,36.91,33.71,36.91,7437520.00,268315856.00
2016/08/16,37.80,40.49,37.33,39.13,11211704.00,433636224.00
2016/08/17,38.72,38.82,37.52,38.25,6702130.00,256196448.00
2016/08/18,38.26,38.99,37.30,38.64,7187714.00,275332704.00
2016/08/19,38.16,39.10,37.50,37.96,5232454.00,199803760.00
2016/08/22,37.76,38.29,36.40,36.57,4149704.00,152898096.00
2016/08/23,36.60,37.16,36.18,36.49,2809630.00,103021312.00
2016/08/24,36.50,37.35,36.24,36.77,2766183.00,101789840.00
2016/08/25,36.40,36.40,34.81,35.93,3786935.00,134662832.00
