2020/07/08,90.01,91.60,80.58,87.27,32933616.00,2782838272.00
2020/07/09,90.00,107.87,90.00,99.12,24939276.00,2390239744.00
2020/07/10,95.80,97.38,90.67,90.90,18079752.00,1693075328.00
2020/07/13,92.37,93.50,85.53,92.40,13477016.00,1205461632.00
2020/07/14,91.00,105.00,90.96,100.97,18128304.00,1772832512.00
2020/07/15,100.76,108.00,95.88,96.34,17633024.00,1793108224.00
2020/07/16,93.00,93.80,82.18,83.80,12311359.00,1089771520.00
2020/07/17,84.28,85.54,75.01,75.21,10016970.00,795195648.00
2020/07/20,75.80,75.81,67.00,72.83,8550302.00,607107968.00
2020/07/21,72.51,75.98,70.80,74.61,7064627.00,522139296.00
2020/07/22,72.83,76.15,72.05,73.93,5633035.00,416624320.00
2020/07/23,72.80,79.87,69.87,78.29,8998410.00,670964800.00
2020/07/24,79.00,82.98,73.00,73.03,8841500.00,699227840.00
2020/07/27,72.00,72.20,66.66,67.48,6134731.00,422934848.00
2020/07/28,68.20,70.70,67.37,68.72,3992007.00,275030848.00
2020/07/29,67.80,71.60,67.51,70.90,4317319.00,302340576.00
2020/07/30,75.00,80.30,75.00,75.36,8561601.00,664476544.00
2020/07/31,72.68,75.30,72.62,73.66,6021170.00,443468480.00
2020/08/03,74.00,88.39,74.00,88.39,13592275.00,1130049280.00
2020/08/04,90.80,91.01,82.60,83.40,12615361.00,1094972160.00
2020/08/05,85.90,90.58,81.66,85.17,9415601.00,819237312.00
2020/08/06,84.53,88.67,82.81,83.80,6778869.00,575936320.00
2020/08/07,82.53,83.60,78.00,78.50,6193011.00,496928832.00
2020/08/10,78.50,82.64,78.18,80.34,3816446.00,308053856.00
2020/08/11,79.88,79.92,74.53,74.76,4657083.00,359851200.00
2020/08/12,74.28,76.57,71.63,75.16,3708238.00,274325440.00
2020/08/13,75.17,75.60,72.50,72.86,2458706.00,181226960.00
2020/08/14,73.50,74.49,72.79,74.19,2152080.00,158541232.00
2020/08/17,74.19,77.96,73.36,76.12,3316132.00,252576800.00
2020/08/18,75.62,75.98,73.25,73.54,3167734.00,235224928.00
2020/08/19,73.39,74.81,71.32,71.82,3085824.00,224405248.00
